Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
90.4,-25,28.496,-53.496
90.35,-25,28.395,-53.395
90.3,-25,28.297,-53.297
90.25,-25,28.202,-53.202
90.2,-25,28.11,-53.11
90.15,-25,28.022,-53.022
90.1,-25,27.942,-52.942
90.05,-25,27.869,-52.869
90,-25,27.801,-52.801
89.95,-25,27.736,-52.736
89.9,-25,27.673,-52.673
89.85,-25,27.61,-52.61
89.8,-25,27.549,-52.549
89.75,-25,27.488,-52.488
89.7,-25,27.427,-52.427
89.65,-25,27.366,-52.366
89.6,-25,27.304,-52.304
89.55,-25,27.242,-52.242
89.5,-25,27.178,-52.178
89.45,-25,27.112,-52.112
89.4,-25,27.043,-52.043
89.35,-25,26.969,-51.969
89.3,-25,26.892,-51.892
89.25,-25,26.811,-51.811
89.2,-25,26.729,-51.729
89.15,-25,26.644,-51.644
89.1,-25,26.559,-51.559
89.05,-25,26.472,-51.472
89,-25,26.383,-51.383
88.95,-25,26.292,-51.292
88.9,-25,26.199,-51.199
88.85,-25,26.105,-51.105
88.8,-25,26.008,-51.008
88.75,-25,25.909,-50.909
88.7,-25,25.808,-50.808
88.65,-25,25.706,-50.706
88.6,-25,25.603,-50.603
88.55,-25,25.499,-50.499
88.5,-25,25.395,-50.395
88.45,-25,25.29,-50.29
88.4,-25,25.185,-50.185
88.35,-25,25.08,-50.08
88.3,-25,24.975,-49.975
88.25,-25,24.87,-49.87
88.2,-25,24.765,-49.765
88.15,-25,24.66,-49.66
88.1,-25,24.555,-49.555
88.05,-25,24.451,-49.451
88,-25,24.347,-49.347
87.95,-25,24.245,-49.245
87.9,-25,24.143,-49.143
87.85,-25,24.043,-49.043
87.8,-25,23.944,-48.944
87.75,-25,23.848,-48.848
87.7,-25,23.753,-48.753
87.65,-25,23.66,-48.66
87.6,-25,23.567,-48.567
87.55,-25,23.477,-48.477
87.5,-25,23.389,-48.389
87.45,-25,23.302,-48.302
87.4,-25,23.219,-48.219
87.35,-25,23.137,-48.137
87.3,-25,23.06,-48.06
87.25,-25,22.987,-47.987
87.2,-25,22.921,-47.921
87.15,-25,22.861,-47.861
